Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2024.0,0.293,0.365,0.369,0.05,0.077,0.2698,0.2488,0.09459999999999999,0.28,0.06075,0.023,0.1835,0.1318,0.10419999999999999,0.282,0.165,0.2044,0.121
2016.6666666666667,0.27825,0.34099999999999997,0.326,0.0985,0.0905,0.2496,0.2066,0.0682,0.29200000000000004,0.11349999999999999,0.041999999999999996,0.179,0.1446,0.1224,0.26749999999999996,0.1715,0.1748,0.149
2009.3333333333333,0.2635,0.317,0.28300000000000003,0.14700000000000002,0.10400000000000001,0.2294,0.1644,0.041800000000000004,0.304,0.16625,0.061,0.17450000000000002,0.15739999999999998,0.1406,0.253,0.178,0.1452,0.177
2002.0,0.24875,0.29300000000000004,0.24,0.1955,0.11750000000000001,0.2092,0.1222,0.015399999999999997,0.316,0.219,0.08,0.17,0.1702,0.1588,0.2385,0.1845,0.1156,0.205
2003.0,0.234,0.269,0.197,0.244,0.131,0.189,0.08,-0.011,0.087,-0.075,0.606,0.247,0.183,0.177,0.224,0.191,0.086,0.206
2004.0,0.269,0.145,0.061,0.123,-0.287,0.118,-0.353,-0.214,-0.011,0.047,0.082,0.19,0.014,0.019,0.22,-0.034,-0.15,0.039
2005.0,0.234,0.208,0.221,0.181,0.071,0.162,0.044,0.035,-0.067,0.108,-0.066,0.126,0.105,0.11,0.21,0.158,0.08,-0.008
2006.0,0.151,0.118,0.063,0.006,-0.219,0.092,-0.073,0.025,-0.208,-0.12,-0.043,-0.103,-0.026,-0.007,0.132,-0.05,0.015,-0.124
2007.0,0.036,0.049,-0.018,0.079,0.126,0.131,0.064,-0.115,-0.174,-0.2,-0.184,-0.296,-0.042,-0.026,-0.006,0.062,0.027,-0.186
2008.0,-0.224,-0.325,-0.195,-0.064,-0.141,-0.223,0.086,-0.136,-0.007,-0.141,-0.148,-0.033,-0.129,-0.151,-0.282,-0.134,-0.091,-0.099
2009.0,0.023,-0.033,0.289,-0.08,0.134,0.128,0.255,0.073,-0.09,-0.025,0.133,0.084,0.074,0.065,-0.014,0.114,0.152,0.006
2010.0,0.121,0.218,0.145,0.033,-0.082,-0.061,-0.277,-0.171,-0.033,-0.109,-0.145,-0.116,-0.04,-0.023,0.141,0.032,-0.17,-0.096
2011.0,-0.065,-0.125,-0.218,0.036,-0.109,0.028,0.243,0.151,-0.078,-0.165,-0.147,-0.217,-0.056,-0.047,-0.102,-0.097,0.141,-0.13
2012.0,-0.221,-0.055,-0.093,-0.038,0.032,-0.045,-0.204,-0.007,-0.099,0.104,-0.001,0.026,-0.05,-0.07,-0.164,-0.033,-0.086,0.001
2013.0,0.083,0.024,-0.04,0.008,-0.128,0.144,-0.169,0.005,0.236,-0.016,-0.019,0.044,0.014,0.013,0.045,-0.053,-0.007,0.067
2014.0,-0.001,-0.185,-0.065,0.003,0.144,-0.009,-0.071,0.034,0.201,0.125,0.061,0.032,0.023,0.024,-0.047,0.027,-0.015,0.129
2015.0,0.042,0.154,0.003,-0.156,-0.108,-0.101,-0.14,-0.044,-0.008,0.175,0.157,0.291,0.022,0.001,0.076,-0.087,-0.095,0.108
2016.0,0.205,0.277,0.191,0.18,0.132,0.008,0.213,0.211,0.053,0.251,0.294,0.183,0.183,0.192,0.258,0.167,0.144,0.199
2017.0,0.224,0.267,0.227,0.066,0.218,-0.005,0.108,0.017,0.071,0.142,-0.001,-0.01,0.11,0.127,0.225,0.17,0.04,0.071
2018.0,0.112,0.017,0.067,0.205,0.021,0.049,-0.003,-0.04,-0.064,0.021,0.037,0.213,0.053,0.034,0.04,0.098,0.002,-0.002
2019.0,0.235,0.341,0.272,0.19,0.051,0.072,0.193,0.149,0.075,0.249,0.3,0.348,0.206,0.195,0.263,0.171,0.138,0.208
2020.0,0.249,0.126,0.05,0.225,0.11,0.163,0.148,-0.066,0.174,0.002,0.159,-0.141,0.1,0.141,0.241,0.128,0.082,0.112
2021.0,-0.104,-0.141,-0.06,-0.06,-0.069,-0.097,0.148,0.079,0.178,0.018,-0.017,0.228,0.009,-0.022,-0.128,-0.063,0.043,0.06
2022.0,0.226,0.234,0.241,-0.244,0.096,0.173,0.124,-0.1,-0.08,-0.081,-0.24,-0.011,0.028,0.048,0.229,0.031,0.066,-0.134
2023.0,0.003,0.267,0.352,0.424,0.176,0.425,0.442,0.313,0.496,0.172,0.221,0.376,0.306,0.273,0.086,0.317,0.393,0.296
2024.0,0.408,0.498,0.426,0.181,0.238,0.28525,0.33875,0.20800000000000002,0.37925,0.119,0.1245,0.2675,0.22875,0.20400000000000001,0.427,0.282,0.277,0.20725
2016.6666666666667,0.2733333333333333,0.31199999999999994,0.324,0.17466666666666666,0.21933333333333332,0.14550000000000002,0.23550000000000001,0.10300000000000001,0.2625,0.06599999999999999,0.027999999999999997,0.159,0.1515,0.135,0.2723333333333333,0.23966666666666664,0.161,0.1185
2009.3333333333333,0.13866666666666666,0.12599999999999995,0.222,0.16833333333333333,0.20066666666666666,0.005750000000000033,0.13225000000000003,-0.0020000000000000018,0.14575000000000005,0.012999999999999984,-0.06849999999999998,0.05049999999999999,0.07424999999999998,0.066,0.1176666666666667,0.1973333333333333,0.044999999999999984,0.02975
2002.0,0.004,-0.06,0.12,0.162,0.182,-0.134,0.029,-0.107,0.029,-0.04,-0.165,-0.058,-0.003,-0.003,-0.037,0.155,-0.071,-0.059
2003.0,0.045,0.122,0.012,0.001,-0.095,-0.098,-0.064,-0.185,-0.148,-0.113,-0.154,-0.003,-0.057,-0.061,0.036,-0.028,-0.116,-0.138
2004.0,-0.016,0.052,-0.125,0.025,-0.367,-0.103,-0.518,-0.254,-0.213,-0.063,-0.089,0.056,-0.135,-0.14,0.011,-0.155,-0.292,-0.122
2005.0,0.025,0.002,0.021,-0.08,-0.097,-0.007,-0.068,-0.107,-0.085,-0.025,-0.145,0.012,-0.046,-0.043,0.028,-0.052,-0.061,-0.085
2006.0,-0.041,0.028,-0.038,-0.147,-0.388,-0.004,-0.156,0.107,-0.124,-0.14,-0.028,-0.09,-0.085,-0.077,-0.001,-0.191,-0.018,-0.097
2007.0,0.057,0.023,-0.028,-0.039,0.071,0.061,-0.001,-0.149,-0.085,-0.24,-0.199,-0.294,-0.069,-0.052,-0.003,0.001,-0.029,-0.175
2008.0,-0.254,-0.31,-0.17,-0.068,-0.2,-0.151,0.06,-0.288,0.038,-0.096,-0.149,-0.088,-0.14,-0.157,-0.286,-0.146,-0.126,-0.069
2009.0,-0.047,-0.125,-0.036,0.024,0.06,0.102,0.245,0.038,-0.034,-0.057,0.19,0.166,0.044,0.023,-0.087,0.016,0.128,0.033
2010.0,0.182,0.251,0.22,0.068,-0.015,0.009,-0.168,-0.137,-0.046,-0.058,-0.135,-0.12,0.004,0.028,0.2,0.091,-0.098,-0.08
2011.0,-0.085,-0.079,-0.104,-0.037,-0.18,-0.019,0.146,0.17,-0.225,-0.177,-0.04,-0.193,-0.069,-0.063,-0.095,-0.107,0.099,-0.148
2012.0,-0.226,-0.084,-0.083,-0.1,0.013,-0.163,-0.223,-0.063,-0.034,0.102,0.037,0.096,-0.061,-0.085,-0.168,-0.057,-0.15,0.035
2013.0,0.049,-0.021,0.006,-0.097,-0.156,0.105,-0.033,0.047,0.214,-0.031,-0.016,0.038,0.009,0.014,0.041,-0.082,0.04,0.056
2014.0,0.026,-0.097,-0.167,0.015,0.241,0.024,-0.141,0.129,0.295,0.098,-0.031,-0.05,0.028,0.036,-0.011,0.03,0.004,0.12
2015.0,0.018,0.133,0.072,0.003,-0.038,0.064,0.006,-0.039,-0.088,0.309,0.182,0.272,0.075,0.048,0.033,0.013,0.01,0.134
2016.0,0.281,0.309,0.289,0.231,0.204,-0.031,0.106,0.291,-0.035,0.151,0.161,0.174,0.178,0.186,0.287,0.241,0.122,0.093
2017.0,0.145,0.273,0.285,0.194,0.312,-0.004,0.128,0.106,-0.086,0.162,-0.018,-0.037,0.122,0.139,0.197,0.264,0.077,0.019
2018.0,-0.015,-0.022,0.072,0.315,0.044,0.171,0.207,0.045,0.024,0.21,0.122,0.224,0.116,0.095,-0.025,0.144,0.141,0.119
2019.0,0.144,0.297,0.268,0.286,0.124,0.109,0.32,0.187,0.028,0.123,0.234,0.284,0.2,0.195,0.222,0.226,0.205,0.128
2020.0,0.232,0.297,0.16,0.366,0.166,0.2,0.156,0.004,0.154,-0.036,0.048,-0.116,0.136,0.169,0.271,0.231,0.12,0.055
2021.0,-0.161,-0.15,0.051,-0.106,-0.05,-0.024,0.234,-0.002,0.181,0.097,0.015,0.06,0.012,-0.003,-0.143,-0.035,0.069,0.097
2022.0,0.066,0.137,0.155,0.095,0.082,0.218,0.283,0.115,0.016,0.03,-0.194,0.015,0.085,0.089,0.088,0.111,0.205,-0.049
2023.0,-0.069,0.153,0.288,0.485,0.179,0.475,0.405,0.199,0.689,0.209,0.306,0.334,0.305,0.278,0.033,0.318,0.36,0.401
2024.0,0.295,0.452,0.5,0.352,0.276,0.475,0.405,0.199,0.689,0.209,0.306,0.334,0.305,0.278,0.36,0.376,0.36,0.401
